,lon,lat,part,x_dwd,y_dwd
168,6.484765625000023,49.707812499999996,0,-267374.4219231539,-4352540.42532295
169,6.493750000000006,49.75439453125,0,-266356.6765268582,-4347111.071000131
170,6.4873046875,49.798486328124994,0,-266527.8869832519,-4341903.877500137
171,6.44091796875,49.805322265624994,0,-269993.095401804,-4340884.176926213
172,6.324609375000023,49.837890625,0,-278558.85688097996,-4336504.805392274
173,6.256054687500011,49.87216796875,0,-283484.1331257264,-4332146.650256931
174,6.204882812500017,49.91513671875,0,-287018.81288782635,-4326851.760355058
175,6.13818359375,49.97431640625,0,-291587.21345990454,-4319576.07765372
176,6.109765625000023,50.034375,0,-293250.9816460809,-4312392.152365614
177,6.108300781249994,50.09423828125006,0,-292884.14250191353,-4305371.454985382
178,6.116503906250017,50.120996093749994,0,-292054.98887400544,-4302279.399527239
179,6.121289062500068,50.13935546875001,0,-291549.9056389878,-4300153.7736071935
180,6.175097656250017,50.232666015625,0,-286780.99628826283,-4289501.576747535
181,6.364453125000068,50.31616210937506,0,-271982.3101052131,-4280654.171390394
182,6.34365234375008,50.400244140625034,0,-272907.87884633004,-4270720.2394608185
183,6.3409179687500625,50.45175781250006,0,-272726.5314524792,-4264684.343662807
184,6.294921875,50.485498046874994,0,-275894.68987706373,-4260520.4530972615
185,6.203027343750023,50.499121093750034,0,-282621.9724506453,-4258480.611445616
186,6.178710937500057,50.52250976562499,0,-284246.73342429916,-4255627.690081394
187,6.16845703125,50.54536132812504,0,-284829.5559166221,-4252907.330311571
188,6.235937499999977,50.5966796875,0,-279426.1345141216,-4247245.971940884
189,6.154492187500011,50.63725585937502,0,-285144.8259617891,-4242107.083352905
190,6.1194335937500455,50.679248046875045,0,-287408.0024370177,-4237030.557628938
191,6.005957031250034,50.73222656249999,0,-295367.47628584586,-4230272.138187871
192,5.993945312500074,50.75043945312498,0,-296105.54612324934,-4228085.76749017
193,6.0484375000000625,50.904882812500006,0,-290840.42014989734,-4210359.63491013
194,6.006835937500028,50.94995117187503,0,-293530.87707534776,-4204896.554168891
195,5.955078125000057,50.97294921875002,0,-297139.80181439075,-4201950.9715022575
196,5.894726562500011,50.984228515625006,0,-301471.4157403474,-4200322.129995851
197,5.8671875,51.00566406250002,0,-303309.9075537461,-4197680.81950526
198,5.857519531249977,51.030126953125034,0,-303811.94241319766,-4194781.595162076
199,5.868359375000068,51.04531250000002,0,-302890.6293282478,-4193071.280141793
200,5.939257812500017,51.04082031249999,0,-297738.9712975253,-4193965.8255358357
201,5.961035156250034,51.05668945312502,0,-296014.4366048777,-4192231.307365691
202,6.1299804687500625,51.14741210937504,0,-282937.37767254876,-4182525.9035531185
203,6.136914062500068,51.16484375000002,0,-282294.2640007908,-4180531.7469354994
204,6.1133789062500625,51.174707031249994,0,-283933.4957435169,-4179267.8631268847
205,6.082421875000051,51.17998046874999,0,-286149.50792101014,-4178500.339868515
206,6.074804687500034,51.19902343749996,0,-286553.0173140784,-4176247.0177421854
207,6.075878906250068,51.22412109375003,0,-286274.4735173705,-4173333.204996078
208,6.166210937499983,51.354833984375006,0,-278676.02861034666,-4158581.3845150787
209,6.19287109375,51.41059570312501,0,-276309.77452964184,-4152230.6960033113
210,6.1988281250000625,51.450000000000045,0,-275573.91788643366,-4147681.641553237
211,6.19326171875008,51.488916015624966,0,-275676.12566119345,-4143134.9248216655
212,6.141601562500028,51.55009765624999,0,-278932.54984080634,-4135781.2975016753
213,6.0911132812500455,51.59892578124999,0,-282189.62568621826,-4129867.03669031
214,6.089355468750057,51.637792968750006,0,-282008.05209146766,-4125348.7655336647
215,6.052734375000057,51.65825195312502,0,-284480.9880045113,-4122794.4286973877
216,5.9485351562500455,51.76240234374998,0,-291123.01537005894,-4110194.8805923564
217,5.94873046875,51.80268554687504,0,-290778.3556484334,-4105527.4123764024
218,6.007617187500017,51.833984375,0,-286305.555545925,-4102197.3664856204
219,6.089843750000057,51.85395507812498,0,-280259.9375985823,-4100290.063483531
220,6.117187500000028,51.87041015624996,0,-278173.6942756104,-4098516.8803633684
221,6.166503906250057,51.88076171875005,0,-274565.49900388566,-4097555.502436711
222,6.297070312500011,51.85073242187505,0,-265452.4365495275,-4101650.3564869533
223,6.35566406250004,51.82465820312498,0,-261450.2188304644,-4104941.881363837
224,6.372167968750034,51.83002929687501,0,-260228.31532245912,-4104394.4195062
225,6.42500000000004,51.8583984375,0,-256238.1288864787,-4101344.304657516
226,6.517578125,51.85395507812498,0,-249642.21684626077,-4102268.0313325003
227,6.741796875000006,51.91088867187506,0,-233210.99332969016,-4096613.61012387
228,6.775195312500074,51.938281250000045,0,-230644.11127206136,-4093574.112178634
229,6.8003906250000625,51.967382812500006,0,-228655.45704671237,-4090302.81898067
230,6.802441406250011,51.980175781249955,0,-228426.24423198283,-4088828.7211387646
231,6.715625000000017,52.03618164062499,0,-234249.22291916236,-4081990.59104174
232,6.712988281250006,52.05688476562503,0,-234299.3773567975,-4079582.2636416266
233,6.724511718750051,52.080224609374994,0,-233324.2102892953,-4076926.739277213
234,6.749023437500057,52.09868164062502,0,-231458.656300228,-4074889.225829109
235,6.8003906250000625,52.111230468749994,0,-227724.1007242719,-4073642.252728033
236,6.855078125000006,52.135791015625045,0,-223679.57436845402,-4071014.415528138
237,6.977246093750011,52.20551757812504,0,-214572.53360036778,-4063411.304442877
238,7.019628906250034,52.26601562500002,0,-211202.23259937466,-4056568.7683732496
239,7.032617187500023,52.33149414062504,0,-209890.05437774508,-4049042.8664906356
240,7.03515625,52.380224609375006,0,-209418.79159913494,-4043417.581272117
241,7.001855468750051,52.41899414062499,0,-211534.10273954665,-4038813.659808856
242,6.968164062500023,52.44409179687506,0,-213755.36863913067,-4035788.077225827
243,6.922070312500068,52.44028320312498,0,-217025.7062876274,-4036054.9142000396
244,6.832519531250028,52.44228515625005,0,-223320.8137330808,-4035479.463464014
245,6.748828125000017,52.46401367187502,0,-229072.564697484,-4032638.6748423493
246,6.702929687499989,52.49921875000001,0,-232068.69697478524,-4028387.5292129987
247,6.691601562500011,52.530175781249994,0,-232658.50204792735,-4024766.6312180893
248,6.712402343750057,52.54965820312498,0,-231068.1070976854,-4022601.278068288
249,6.718750000000028,52.57358398437506,0,-230464.08710228713,-4019864.5813288945
250,6.7053710937500455,52.59765624999997,0,-231242.78269927655,-4017031.905192044
